,tag_id,parent_id,child_id
244,102,1043,1031
245,102,1043,1054
246,102,1043,1391
247,102,1043,1564
248,102,1043,1693
249,102,1043,1779
250,103,1329,None
251,104,827,1809
252,105,139,None
253,105,138,None
254,106,1329,None
255,107,1329,None
256,108,1262,146
257,108,1262,200
258,108,1262,226
259,108,1262,388
260,108,1262,390
261,108,1262,447
262,108,1262,449
263,108,1262,450
264,108,1262,451
265,108,1262,467
266,108,1262,525
267,108,1262,595
268,108,1262,625
269,108,1262,668
270,108,1262,693
271,108,1262,790
272,108,1262,807
273,108,1262,975
274,108,1262,1047
275,108,1262,1069
276,108,1262,1110
277,108,1262,1263
278,108,1262,1361
279,108,1262,1458
280,108,1262,1483
281,108,1262,1508
282,108,1262,1509
283,108,1262,1633
284,108,1262,1654
285,108,1262,1816
286,109,1272,None
287,110,1365,None
288,111,1329,None
289,112,1387,None
290,113,1329,None
291,114,1329,None
292,115,1368,None
293,116,315,None
294,117,244,None
295,118,1329,None
296,119,39,135
297,119,39,882
298,119,39,1704
299,119,39,1730
300,120,1329,None
301,121,660,None
302,121,215,None
303,122,0,39
304,122,0,40
305,122,0,41
306,122,0,42
307,122,0,43
308,122,0,244
309,122,0,245
310,122,0,660
311,122,0,802
312,122,0,1368
313,122,0,1433
314,123,1368,None
315,124,1083,None
316,125,1856,None
317,126,584,None
318,127,660,None
319,128,244,None
320,129,1705,None
321,130,1805,626
322,130,1805,1063
323,130,1805,1482
324,130,1805,1567
325,131,1330,None
326,132,1433,None
327,133,246,None
328,134,879,None
329,135,119,803
330,135,119,1484
331,135,119,1526
332,135,119,1569
333,136,887,None
334,137,1236,None
335,138,1805,105
336,138,1805,526
337,138,1805,650
338,139,1705,105
339,139,1705,526
340,140,1331,None
341,141,1329,None
342,142,99,None
343,143,99,None
344,144,99,None
345,145,1236,None
346,146,108,None
347,147,101,None
348,148,43,None
349,149,99,None
350,150,99,None
351,151,244,None
352,151,884,None
353,152,244,None
354,152,1497,None
355,152,660,None
356,153,398,None
357,154,1871,None
358,155,333,157
359,156,99,None
360,156,101,None
361,156,844,None
362,157,155,None
363,158,99,None
364,158,1314,None
365,159,101,1153
366,159,101,1793
367,159,1235,None
368,160,244,None
369,160,99,None
370,160,99,None
371,161,1235,None
372,162,101,None
373,162,333,None
374,163,244,None
375,164,346,None
376,165,660,None
377,166,660,None
378,167,884,None
379,168,1244,None
380,169,1329,None
381,170,186,None
382,171,1548,None
383,171,1548,None
384,172,1365,None
385,173,265,None
386,174,827,None
387,175,1793,None
388,176,660,None
389,177,624,306
390,177,624,491
391,177,624,619
392,178,682,None
393,178,1329,None
394,179,1329,None
395,180,1329,None
396,181,1742,None
397,182,1365,None
398,183,1329,None
399,184,1329,None
400,185,1329,None
401,186,1705,170
402,186,1705,187
403,186,1705,190
404,186,1705,192
405,186,1705,194
406,186,1705,672
407,186,1705,1204
408,186,1705,1221
409,187,186,None
410,188,1329,None
411,189,1329,None
412,190,186,None
413,191,1689,None
414,191,1413,None
415,191,660,None
416,192,186,None
417,193,1329,None
418,194,186,None
419,195,1329,None
420,196,1329,None
421,197,1694,1699
422,198,1527,None
423,199,1329,None
424,200,108,None
425,201,1365,None
426,202,1365,None
427,203,1365,None
428,204,1329,None
429,205,1331,None
430,206,1329,None
431,207,1329,None
432,208,1220,None
433,209,102,None
434,210,1329,None
435,211,1329,None
436,212,286,None
437,213,1329,None
438,214,1330,None
439,215,1329,None
440,215,660,121
441,216,1329,None
442,217,244,None
443,218,1330,None
444,219,100,None
445,220,1743,None
446,221,1329,None
447,222,293,None
448,223,660,None
449,224,616,472
450,224,616,479
451,224,616,989
452,224,616,1124
453,224,616,1354
454,224,614,472
455,224,614,479
456,224,614,989
457,224,614,1124
458,224,614,1354
459,225,43,None
460,226,108,None
461,227,1329,None
462,228,1329,None
463,229,551,None
464,229,552,1651
465,230,1793,None
466,231,551,None
467,231,552,None
468,232,1332,None
469,233,1329,None
470,234,574,None
471,235,887,None
472,236,345,344
473,236,345,1799
474,237,1081,406
475,237,1081,1697
476,238,1365,None
477,239,1742,None
478,240,1329,None
479,241,1329,None
480,242,1387,None
481,243,1329,None
482,244,122,117
483,244,122,128
484,244,122,151
485,244,122,152
486,244,122,160
487,244,122,163
488,244,122,217
489,244,122,340
490,244,122,452
491,244,122,476
492,244,122,589
493,244,122,664
494,244,122,820
495,244,122,883
496,244,122,886
497,244,122,972
498,244,122,1081
499,244,122,1283
500,244,122,1353
501,244,122,1527
502,244,122,1640
503,244,122,1682
504,244,122,1823
505,244,122,1834
506,244,122,1835
507,245,122,1658
508,245,122,1694
509,245,122,1714
510,246,802,133
511,246,802,1422
512,246,802,1758
513,247,802,None
514,248,802,35
515,248,802,37
516,248,802,724
517,248,802,798
518,248,802,799
519,248,802,800
520,248,802,801
521,248,802,1181
522,249,444,None
523,250,444,None
524,251,682,None
525,251,1329,None
526,252,1307,None
527,253,1236,None
528,254,1329,None
529,255,528,418
530,255,528,671
531,255,528,1279
532,255,528,418
533,255,528,671
534,255,528,1279
535,256,484,None
536,257,1329,None
537,258,1329,None
538,259,1329,None
539,260,1705,None
540,261,1329,None
541,262,1329,None
542,263,1329,None
543,264,1329,None
544,265,1262,173
545,265,1262,387
546,265,1262,780
547,265,1262,874
548,265,1262,952
549,265,1262,1120
550,265,1262,1143
551,265,1262,1276
552,265,1262,1334
553,265,1262,1380
554,265,1262,1408
555,265,1262,1481
556,265,1262,1647
557,266,1329,None
558,267,1625,None
559,268,272,None
560,269,682,None
561,270,1272,None
562,271,660,None
563,272,1237,6
564,272,1237,49
565,272,1237,268
566,272,1237,287
567,272,1237,289
568,272,1237,404
569,272,1237,512
570,272,1237,540
571,272,1237,537
572,272,1237,564
573,272,1237,652
574,272,1237,734
575,272,1237,862
576,272,1237,911
577,272,1237,918
578,272,1237,1108
579,272,1237,1139
580,272,1237,1170
581,272,1237,1249
582,272,1237,1345
583,272,1237,1455
584,272,1237,1530
585,272,1237,1607
586,272,1237,1620
587,272,1237,1650
588,272,1237,1796
589,272,1237,1825
590,273,99,None
591,274,1329,None
592,275,444,None
593,276,1368,None
594,277,1365,None
595,278,1329,None
596,279,1329,None
597,280,346,None
598,281,682,None
599,282,1094,None
600,283,1331,1193
601,284,444,None
602,285,1329,None
603,286,1089,212
604,286,1089,786
605,286,1089,1035
606,286,1089,1409
607,287,272,None
608,288,682,None
609,289,272,None
610,289,1329,None
611,290,442,None
612,291,1329,None
613,292,99,None
614,293,1805,222
615,293,1805,438
616,293,1805,586
617,293,1805,661
618,293,1805,787
619,293,1805,932
620,293,1805,933
621,293,1805,935
622,293,1805,1133
623,293,1805,1318
624,294,1329,None
625,295,1331,None
626,296,1329,None
627,297,1329,None
628,298,1329,None
629,299,682,None
630,300,1332,None
631,301,1793,None
632,302,1307,None
633,303,1582,None
634,304,1329,None
635,305,1329,None
636,306,177,None
637,307,879,None
638,308,1272,None
639,309,346,None
640,310,1527,None
641,311,31,None
642,312,43,None
643,313,1329,None
644,314,1329,None
645,315,1368,116
646,315,1368,545
647,315,1368,563
648,316,1480,None
649,317,1329,None
650,318,325,None
651,319,325,None
652,320,325,None
653,321,325,None
654,322,325,None
655,323,325,None
656,324,325,None
657,325,347,318
658,325,347,319
659,325,347,320
660,325,347,321
661,325,347,322
662,325,347,323
663,325,347,324
664,325,347,817
665,325,347,1838
666,326,660,None
667,327,345,5
668,327,345,96
669,327,345,1160
670,327,345,1388
671,327,345,1836
672,328,1329,None
673,329,660,None
674,330,1781,None
675,331,1329,None
676,332,1329,None
677,333,1234,155
678,333,1234,162
679,333,1234,334
680,333,1234,398
681,333,1234,453
682,333,1234,487
683,333,1234,504
684,333,1234,865
685,333,1234,994
686,333,1234,1016
687,333,1234,1185
688,333,1234,1225
689,333,1234,1232
690,333,1234,1242
691,333,1234,1304
692,333,1234,1346
693,333,1234,1347
